J_tot,S_tot,L_tot,SU_tot,ModEx,HO_n,Yoshida,Hosaka,Roberts,Kim,Mohanta
0.5,0.5,0,1.333333333,grd,0,-1,5780,5844,5796,5901
0.5,0.5,1,1.333333333,lam,1,-1,6270,6108,6069,-1
1.5,0.5,1,1.333333333,lam,1,-1,6280,6110,6080,-1
0.5,0.5,1,1.333333333,rho,1,-1,-1,-1,6084,-1
0.5,1.5,1,1.333333333,rho,1,-1,6060,-1,6540,-1
1.5,0.5,1,1.333333333,rho,1,-1,-1,-1,-1,-1
1.5,1.5,1,1.333333333,rho,1,-1,6070,-1,6554,-1
2.5,1.5,1,1.333333333,rho,1,-1,-1,6312,-1,-1
1.5,0.5,2,1.333333333,lam,2,-1,6190,6294,6307,-1
2.5,0.5,2,1.333333333,lam,2,-1,6190,6333,6313,-1
0.5,0.5,0,1.333333333,rpl,2,-1,-1,-1,6260,-1
0.5,0.5,0,1.333333333,rpr,2,-1,-1,-1,-1,-1
1.5,0.5,2,1.333333333,mix,2,-1,-1,-1,-1,-1
2.5,0.5,2,1.333333333,mix,2,-1,6860,-1,-1,-1
0.5,1.5,2,1.333333333,mix,2,-1,-1,-1,-1,-1
1.5,1.5,2,1.333333333,mix,2,-1,6840,-1,-1,-1
2.5,1.5,2,1.333333333,mix,2,-1,6840,-1,-1,-1
3.5,1.5,2,1.333333333,mix,2,-1,6860,6524,-1,-1
0.5,0.5,1,1.333333333,mix,2,-1,-1,-1,-1,-1
1.5,0.5,1,1.333333333,mix,2,-1,-1,-1,-1,-1
0.5,1.5,1,1.333333333,mix,2,-1,6820,-1,-1,-1
1.5,1.5,1,1.333333333,mix,2,-1,6820,-1,-1,-1
2.5,1.5,1,1.333333333,mix,2,-1,-1,-1,-1,-1
1.5,1.5,0,1.333333333,mix,2,-1,-1,-1,-1,-1
0.5,0.5,0,1.333333333,mix,2,-1,-1,-1,-1,-1
1.5,0.5,2,1.333333333,rho,2,-1,6570,-1,-1,-1
2.5,0.5,2,1.333333333,rho,2,-1,6570,-1,-1,-1
