J_tot,S_tot,L_tot,SU_tot,ModEx,HO_n,Yao-Wang11,Wang-Yao44,He53,Chen55,
0.5,0.5,0,3.333333333,grd,0,-1,-1,-1,0.05,
1.5,1.5,0,3.333333333,grd,0,-1,-1,-1,1.09,
0.5,0.5,1,3.333333333,lam,1,-1,27.05,370.75,9.9,
0.5,1.5,1,3.333333333,lam,1,-1,32.24,90.51,17.2,
1.5,0.5,1,3.333333333,lam,1,-1,24.15,86.18,24.8,
1.5,1.5,1,3.333333333,lam,1,-1,15.83,6.93,23.6,
2.5,1.5,1,3.333333333,lam,1,-1,24.39,7.12,24.9,
0.5,0.5,1,3.333333333,rho,1,-1,-1,-1,-1,
1.5,0.5,1,3.333333333,rho,1,-1,-1,-1,-1,
1.5,0.5,2,3.333333333,lam,2,100.8,-1,39.82,-1,
2.5,0.5,2,3.333333333,lam,2,25.3,-1,18.75,-1,
0.5,1.5,2,3.333333333,lam,2,108.7,-1,39.35,-1,
1.5,1.5,2,3.333333333,lam,2,57.6,-1,21.5,-1,
2.5,1.5,2,3.333333333,lam,2,28.1,-1,2.42,-1,
3.5,1.5,2,3.333333333,lam,2,40.7,-1,2.23,-1,
0.5,0.5,0,3.333333333,rpl,2,-1,-1,33.89,55.8,
1.5,1.5,0,3.333333333,rpl,2,-1,-1,35.64,57.8,
0.5,0.5,0,3.333333333,rpr,2,-1,-1,-1,-1,
1.5,1.5,0,3.333333333,rpr,2,-1,-1,-1,-1,-1
1.5,0.5,2,3.333333333,mix,2,-1,-1,-1,-1,-1
2.5,0.5,2,3.333333333,mix,2,-1,-1,-1,-1,-1
0.5,0.5,1,3.333333333,mix,2,-1,-1,-1,-1,-1
1.5,0.5,1,3.333333333,mix,2,-1,-1,-1,-1,-1
0.5,0.5,0,3.333333333,mix,2,-1,-1,-1,-1,-1
1.5,0.5,2,3.333333333,rho,2,-1,-1,-1,-1,-1
2.5,0.5,2,3.333333333,rho,2,-1,-1,-1,-1,-1
0.5,1.5,2,3.333333333,rho,2,-1,-1,-1,-1,-1
1.5,1.5,2,3.333333333,rho,2,-1,-1,-1,-1,-1
2.5,1.5,2,3.333333333,rho,2,-1,-1,-1,-1,-1
3.5,1.5,2,3.333333333,rho,2,-1,-1,-1,-1,-1
