J_tot,S_tot,L_tot,SU_tot,ModEx,HO_n,QFLu7,QFLu9,Yao-Wang11,Wang-Yao44,Chen55,ChenLiu56
0.5,0.5,0,3.333333333,grd,0,-1,-1,-1,-1,5.12,-1
1.5,1.5,0,3.333333333,grd,0,-1,-1,-1,-1,9.13,-1
0.5,0.5,1,3.333333333,lam,1,263.54,9.75,-1,22.66,-1,27.2
0.5,1.5,1,3.333333333,lam,1,209.16,25.5,-1,14.21,-1,109.3
1.5,0.5,1,3.333333333,lam,1,180.57,-1,-1,39.29,-1,114.4
1.5,1.5,1,3.333333333,lam,1,9.26,-1,-1,26.29,-1,42.3
2.5,1.5,1,3.333333333,lam,1,9.16,-1,-1,38.34,-1,42.8
0.5,0.5,1,3.333333333,rho,1,261.07,-1,-1,-1,-1,-1
1.5,0.5,1,3.333333333,rho,1,268.28,-1,-1,-1,-1,-1
1.5,0.5,2,3.333333333,lam,2,-1,-1,121.4,-1,-1,-1
2.5,0.5,2,3.333333333,lam,2,-1,-1,47.9,-1,-1,-1
0.5,1.5,2,3.333333333,lam,2,-1,-1,148,-1,-1,-1
1.5,1.5,2,3.333333333,lam,2,-1,-1,85.1,-1,-1,-1
2.5,1.5,2,3.333333333,lam,2,-1,-1,48.5,-1,-1,-1
3.5,1.5,2,3.333333333,lam,2,-1,-1,52.6,-1,-1,-1
0.5,0.5,0,3.333333333,rpl,2,-1,-1,-1,-1,-1,116.2
1.5,1.5,0,3.333333333,rpl,2,-1,-1,-1,-1,-1,122.4
0.5,0.5,0,3.333333333,rpr,2,-1,-1,-1,-1,-1,-1
1.5,1.5,0,3.333333333,rpr,2,-1,-1,-1,-1,-1,-1
1.5,0.5,2,3.333333333,mix,2,-1,-1,-1,-1,-1,-1
2.5,0.5,2,3.333333333,mix,2,-1,-1,-1,-1,-1,-1
0.5,0.5,1,3.333333333,mix,2,-1,-1,-1,-1,-1,-1
1.5,0.5,1,3.333333333,mix,2,-1,-1,-1,-1,-1,-1
0.5,0.5,0,3.333333333,mix,2,-1,-1,-1,-1,-1,-1
1.5,0.5,2,3.333333333,rho,2,-1,-1,-1,-1,-1,-1
2.5,0.5,2,3.333333333,rho,2,-1,-1,-1,-1,-1,-1
0.5,1.5,2,3.333333333,rho,2,-1,-1,-1,-1,-1,-1
1.5,1.5,2,3.333333333,rho,2,-1,-1,-1,-1,-1,-1
2.5,1.5,2,3.333333333,rho,2,-1,-1,-1,-1,-1,-1
3.5,1.5,2,3.333333333,rho,2,-1,-1,-1,-1,-1,-1
