mass,error_up,error_dn,exp_mass,exp_mass_err,decay,decay_up,decay_dn,J_tot,S_tot,L_tot,SU_tot,ModEx,HO_n
5811,12,-12,5813.1,1.0,0,0,0,0.5,0.5,0,3.3333333333333335,grd,0
5834,13,-14,5837.03,1.0,0,0,0,1.5,1.5,0,3.3333333333333335,grd,0
6097,14,-13,6096.9,1.0,0,0,0,0.5,0.5,1,3.3333333333333335,lam,1
6112,14,-14,0,0,0,0,0,0.5,1.5,1,3.3333333333333335,lam,1
6107,14,-13,0,0,0,0,0,1.5,0.5,1,3.3333333333333335,lam,1
6121,14,-13,0,0,0,0,0,1.5,1.5,1,3.3333333333333335,lam,1
6137,14,-14,0,0,0,0,0,2.5,1.5,1,3.3333333333333335,lam,1
6387,21,-22,0,0,0,0,0,1.5,0.5,2,3.3333333333333335,lam,2
6403,21,-23,0,0,0,0,0,2.5,0.5,2,3.3333333333333335,lam,2
6392,23,-23,0,0,0,0,0,0.5,1.5,2,3.3333333333333335,lam,2
6402,22,-22,0,0,0,0,0,1.5,1.5,2,3.3333333333333335,lam,2
6417,22,-21,0,0,0,0,0,2.5,1.5,2,3.3333333333333335,lam,2
6439,22,-23,0,0,0,0,0,3.5,1.5,2,3.3333333333333335,lam,2
6397,21,-23,0,0,0,0,0,0.5,0.5,0,3.3333333333333335,rpl,2
6421,22,-22,0,0,0,0,0,1.5,1.5,0,3.3333333333333335,rpl,2
